category,kanji,yomi,note
# ===================================================================
# 読み仮名辞書『数字で見るG党』 v3
# 取得日: 2026-04-25
# 出典: NPB公式 (https://npb.jp/bis/teams/) 各球団 2026年度 選手一覧
# 用途: TTS (Gemini Charon/Puck) 誤読防止
# 仕組み: speech フィールドの完全一致置換 (kanji → yomi)
# 注意: 「.276」など数値の動的読み上げは AI 側の speech 生成ルールで対応
# ===================================================================

# === キャラクター名 ===
キャラ,数原,かずはら,A=解説者
キャラ,数原さん,かずはらさん,Aの呼ばれ方
キャラ,もえか,もえか,B=スタッフ
キャラ,もえかちゃん,もえかちゃん,Bの呼ばれ方

# === セリーグ 6球団 監督 ===
監督,阿部 慎之助,あべ しんのすけ,巨人 #83
監督,阿部監督,あべ かんとく,巨人
監督,藤川 球児,ふじかわ きゅうじ,阪神 #22
監督,相川 亮二,あいかわ りょうじ,DeNA #81
監督,井上 一樹,いのうえ かずき,中日 #99
監督,新井 貴浩,あらい たかひろ,広島 #25
監督,池山 隆寛,いけやま たかひろ,ヤクルト 監督

# ===================================================================
# 【巨人 GIANTS】 監督1 + 投手31 + 捕手6 + 内野15 + 外野11 + 育成42 = 計106名
# ===================================================================

# === 巨人 投手 (支配下 31名) ===
巨人選手,田中 将大,たなか まさひろ,#11 マー君
巨人選手,大勢,たいせい,#15 守護神
巨人選手,西舘 勇陽,にしだて ゆうひ,#17
巨人選手,山﨑 伊織,やまさき いおり,#19
巨人選手,戸郷 翔征,とごう しょうせい,#20
巨人選手,竹丸 和幸,たけまる かずゆき,#21
巨人選手,ウィットリー,うぃっとりー,#26
巨人選手,ハワード,はわーど,#28
巨人選手,田和 廉,たわ れん,#30
巨人選手,赤星 優志,あかほし ゆうし,#31
巨人選手,山城 京平,やましろ きょうへい,#36
巨人選手,中川 皓太,なかがわ こうた,#41
巨人選手,マタ,また,#42
巨人選手,則本 昂大,のりもと たかひろ,#43
巨人選手,田中 瑛斗,たなか えいと,#45
巨人選手,又木 鉄平,またき てっぺい,#46
巨人選手,森田 駿哉,もりた しゅんや,#47
巨人選手,バルドナード,ばるどなーど,#49
巨人選手,高梨 雄平,たかなし ゆうへい,#53
巨人選手,松浦 慶斗,まつうら けいと,#54
巨人選手,北浦 竜次,きたうら りゅうじ,#56
巨人選手,宮原 駿介,みやはら しゅんすけ,#57
巨人選手,船迫 大雅,ふなさこ たいが,#58
巨人選手,横川 凱,よこかわ がい,#62
巨人選手,泉 圭輔,いずみ けいすけ,#63
巨人選手,山田 龍聖,やまだ りゅうせい,#64
